X 	 Y 	 Z 	 Safe Angle
16	1	73	-81.644424
-15	17	66	20.579649
-27	19	55	31.161516
-28	14	57	40.399925
34	-2	55	82.129585
-22	16	61	30.332201
-12	13	71	21.444864
13	3	75	-61.528694
-21	13	64	34.504566
12	5	76	-45.60311
22	2	67	-77.94083
-16	10	70	34.249058
-30	17	54	36.904327
12	4	76	-51.927235
23	-3	66	72.958565
-24	14	60	36.11015
-10	12	73	19.525042
31	-4	57	73.13135
-19	14	65	30.006788
-11	11	73	23.05133
25	0	64	-90.0
-19	15	64	28.325008
15	2	74	-72.60249
21	0	68	-90.0
11	4	77	-49.484623
-28	17	56	35.025723
23	0	66	-90.0
-20	19	61	24.12899
-29	18	54	34.43375
14	2	74	-71.44237
-30	14	55	42.360275
-20	9	66	43.39922
-17	8	70	42.121655
-26	13	59	40.399925
14	0	75	-90.0
-17	8	70	42.121655
-17	8	70	42.121655
-17	8	70	42.121655
-13	11	72	26.697914
16	-3	72	66.22052
31	-8	57	58.765232
-14	18	66	18.312986
38	-9	49	60.900623
-10	3	79	54.816177
6	-15	72	9.659927
-26	9	62	50.87299
-14	5	74	49.99376
-32	8	55	59.565777
-30	12	56	46.771492
-41	12	46	55.479633
25	-2	64	79.35268
-39	19	44	41.135944
-49	18	35	49.197113
16	-1	73	81.644424
-13	10	73	28.951021
-32	15	52	42.23323
22	-1	67	83.90289
-18	15	66	27.050623
-18	17	63	24.254604
-15	18	65	19.525042
15	2	74	-72.60249
13	4	75	-54.13019
42	15	43	-49.99376
24	19	57	-28.25868
-19	1	70	82.94923
-23	-5	66	-62.938904
59	-3	30	83.18595
-22	4	67	66.86431
15	-3	73	64.826485
34	-8	53	61.06
37	7	51	-66.03034
11	10	73	-25.08362
21	17	61	-27.729006
54	27	21	-40.399925
21	11	64	-39.08971
-32	-10	55	-53.707386
41	13	45	-53.30941
27	12	59	-43.754654
19	0	70	-90.0
-23	0	66	90.0
-17	1	72	82.129585
16	2	73	-73.62986
12	-1	77	78.91981
-11	4	77	49.484623
-16	0	73	90.0
68	5	20	-80.196434
49	19	34	-47.659473
-19	0	70	90.0
48	16	36	-51.927235
36	11	51	-54.319572
-15	0	74	90.0
27	13	59	-41.470177
34	15	51	-43.96591
-24	-3	65	-73.62986
21	17	61	-27.729006
-14	1	75	80.47133
22	5	67	-61.89374
-31	0	58	90.0
22	8	65	-49.484623
27	11	60	-46.246563
-21	9	66	44.796124
25	15	59	-35.345047
-28	-8	59	-56.121475
31	26	46	-26.901669
34	0	55	-90.0
-32	0	57	90.0
30	9	58	-54.816177
38	20	44	-38.95593
-15	2	74	72.60249
15	17	66	-20.579649
43	19	39	-43.921562
-23	-4	65	-67.770386
47	15	38	-53.13012
32	16	52	-40.399925
11	13	72	-19.802227
21	9	65	-44.796124
41	15	44	-49.31252
44	26	33	-35.75885
35	24	45	-31.822414
24	20	57	-27.050623
38	31	35	-27.547462
14	6	73	-44.796124
13	4	76	-54.13019
21	7	66	-51.927235
-20	-12	65	-35.345047
22	9	65	-46.12853
-28	-7	60	-59.565777
31	14	54	-43.296894
-29	-11	57	-48.28687
-25	-5	64	-64.826485
34	16	50	-42.121655
-31	-14	54	-43.296894
-36	-11	50	-54.319572
-17	-12	68	-31.083149
-21	-13	64	-34.504566
18	6	70	-51.927235
14	3	74	-63.271492
-19	-8	68	-45.30317
-15	-6	73	-46.771492
-26	-2	63	-79.75335
-22	-2	67	-77.94083
25	7	63	-56.6551
-25	-16	59	-33.619705
17	5	71	-55.348698
-17	-10	69	-35.88216
30	13	55	-44.479595
22	7	66	-53.21355
11	0	78	-90.0
-14	0	75	90.0
10	4	78	-46.771492
-16	-12	69	-29.56956
22	6	66	-57.343834
-33	-6	55	-66.86431
27	6	61	-62.42545
-11	-10	74	-25.08362
25	8	62	-53.05685
30	6	58	-64.826485
24	5	64	-63.91441
38	6	50	-69.6425
20	1	69	-83.29848
41	13	45	-53.30941
32	11	54	-51.068306
23	7	65	-54.427006
-16	-15	67	-24.41336
17	1	72	-82.129585
35	11	52	-53.551502
33	13	53	-47.207813
12	0	77	-90.0
47	24	31	-39.805595
23	8	64	-50.73775
46	28	29	-34.956966
31	37	36	-19.622541
10	-7	77	31.295559
30	20	51	-32.550026
30	8	57	-57.926014
41	11	46	-57.769085
33	43	27	-18.085567
17	4	71	-61.06
49	23	30	-42.194466
27	12	59	-43.754654
-20	-5	68	-59.565777
29	13	56	-43.509033
19	10	67	-38.95593
-49	-3	39	-81.812614
38	23	42	-35.109264
-49	-11	38	-62.18608
14	4	74	-56.121475
13	13	70	-23.05133
-33	-10	54	-54.54454
25	7	63	-56.6551
27	10	59	-48.964672
-23	-7	65	-54.427006
10	4	78	-46.771492
-30	-9	58	-54.816177
-10	-6	77	-35.345047
27	18	56	-32.55003
24	7	64	-55.572628
-25	-12	60	-41.557808
42	15	42	-49.99376
-20	-11	66	-37.728943
43	13	43	-54.60755
-12	-13	71	-21.444864
15	3	74	-64.826485
29	10	58	-50.980618
-15	-8	72	-38.58542
26	11	60	-45.165775
27	6	61	-62.42545
19	6	68	-53.42071
42	10	45	-60.77196
10	1	79	-76.77545
-14	-7	73	-40.399925
11	4	77	-49.484623
12	8	74	-32.55003
15	14	68	-24.509556
21	4	68	-65.88581
18	-2	71	75.36617
-24	11	62	42.874676
14	4	75	-56.121475
22	6	66	-57.343834
-11	9	75	27.478724
17	2	72	-74.54545
13	1	76	-79.75335
13	-1	76	79.75335
26	2	62	-79.75335
16	2	73	-73.62986
24	-1	65	84.407616
10	7	77	-31.295559
31	-5	57	69.241684
25	2	64	-79.35268
25	3	64	-74.25156
22	6	66	-57.343834
-13	24	62	12.979811
15	5	73	-51.927235
12	11	73	-24.901543
24	-1	65	84.407616
26	-5	63	65.6807
11	6	76	-37.959305
14	1	75	-80.47133
-13	15	68	20.243717
-23	23	55	23.05133
21	-10	65	41.784534
-17	14	66	27.32621
-16	15	66	24.41336
-10	8	76	28.009205
-11	8	75	30.332201
-22	14	62	33.770397
14	-2	75	71.44237
-13	11	72	26.697914
12	-2	77	68.61139
-11	7	76	33.770397
13	-1	76	79.75335
-18	13	66	30.506535
-15	10	71	32.550026
-11	10	74	25.08362
-20	13	65	33.21137
-15	12	70	28.009205
-19	15	65	28.325008
20	-1	69	83.29848
-26	18	57	31.577288
21	-5	67	60.77196
-24	19	57	28.25868
22	-1	67	83.90289
-24	18	58	29.56956
25	-6	63	60.577015
-21	18	61	26.40231
-15	13	68	26.150991
17	-1	72	82.129585
-28	20	53	30.784172
-16	14	67	25.934711
-19	16	63	26.808372
-18	10	68	37.4506
24	-8	63	51.927235
-22	17	60	28.841093
-10	9	75	25.305431
20	-2	69	76.77545
10	0	79	-90.0
13	-3	76	61.528694
11	0	78	-90.0
10	-3	79	54.816177
31	-2	58	81.37888
-20	18	62	25.305431
22	-6	66	57.343834
-12	1	77	78.91981
22	1	67	-83.90289
13	0	76	-90.0
17	-7	70	45.942017
-10	-11	74	-21.148853
15	3	73	-64.826485
-13	-10	72	-28.951021
17	7	71	-45.942017
18	9	68	-40.399925
-14	2	75	71.44237
12	8	74	-32.55003
10	1	79	-76.77545
-10	1	79	76.77545
13	6	74	-42.67564
-12	0	77	90.0
13	7	74	-38.31841
-16	0	73	90.0
16	4	72	-59.565777
11	3	78	-57.343834
13	3	76	-61.528694
15	5	73	-51.927235
19	7	69	-49.11435
-11	0	78	90.0
-18	-2	71	-75.36617
23	4	65	-67.770386
16	5	72	-53.707386
-10	0	79	90.0
24	9	63	-48.611904
-19	-1	70	-82.94923
19	8	68	-45.30317
19	11	66	-36.316273
-13	2	76	70.12314
-11	3	78	57.343834
20	9	66	-43.39922
-10	0	79	90.0
17	8	70	-42.121655
14	7	73	-40.399925
21	11	65	-39.08971
-10	0	79	90.0
16	6	72	-48.611904
13	7	74	-38.31841
-16	-4	72	-59.565777
19	14	65	-30.006788
-16	0	73	90.0
-14	-1	75	-80.47133
-11	6	76	37.959305
33	16	51	-41.272137
-21	-9	66	-44.796124
18	4	70	-62.42545
15	9	71	-35.345047
-23	-7	65	-54.427006
23	10	64	-44.38396
-20	-6	68	-54.816177
17	13	68	-29.094425
20	11	66	-37.728943
-12	-5	75	-45.60311
15	9	71	-35.345047
-10	-1	78	-76.77545
-11	-6	76	-37.959305
14	7	73	-40.399925
-18	-5	71	-56.864403
15	12	69	-28.009205
-17	-4	72	-61.06
14	11	71	-28.439386
-20	-2	69	-76.77545
19	12	66	-33.970493
-10	-3	78	-54.816177
13	7	74	-38.31841
14	12	70	-26.40231
-17	-4	71	-61.06
16	7	72	-44.205524
-13	0	76	90.0
15	13	69	-26.150991
-12	-2	77	-68.61139
10	10	75	-23.05133
-16	-3	72	-66.22052
18	10	68	-37.4506
-12	2	77	68.61139
11	11	73	-23.05133
-14	0	75	90.0
14	8	73	-36.674374
-16	-4	72	-59.565777
19	9	68	-41.934807
-18	8	69	43.754654
20	5	68	-59.565777
15	0	74	-90.0
-13	10	72	28.951021
30	3	58	-76.77545
-17	9	69	38.791733
22	8	65	-49.484623
-11	15	70	17.330915
-19	17	63	25.435534
37	1	52	-86.36583
-9	19	68	11.396311
23	1	66	-84.166115
22	-1	67	83.90289
30	0	59	-90.0
27	2	62	-80.125244
11	0	78	-90.0
-19	23	58	19.36795
-19	14	65	30.006788
27	-1	62	85.02568
17	0	72	-90.0
-11	21	65	12.565716
18	-5	70	56.864403
18	-4	70	62.42545
-26	25	51	23.87197
-25	22	54	25.806536
16	-6	72	48.611904
-39	30	35	28.951021
29	-3	60	76.33626
13	2	76	-70.12314
-16	13	68	27.642498
20	-2	69	76.77545
-36	19	47	38.878246
-36	26	42	30.506535
25	-7	63	56.6551
-35	23	45	32.92504
24	1	65	-84.407616
-13	18	66	17.083721
-40	22	41	37.728943
33	-7	55	63.50445
-26	20	55	28.951021
-13	17	67	18.02527
-33	19	49	36.467457
-28	26	49	24.620365
-16	2	73	73.62986
29	-8	59	57.045647
-12	12	72	23.05133
-20	10	66	40.399925
-12	4	76	51.927235
-14	3	74	63.271492
-26	0	63	90.0
20	0	69	-90.0
10	-3	78	54.816177
13	0	76	-90.0
17	-6	71	50.327305
13	-6	74	42.67564
10	-3	78	54.816177
17	-2	72	74.54545
-24	14	60	36.11015
19	0	70	-90.0
-15	7	73	42.360275
24	-3	64	73.62986
-23	16	60	31.45424
16	-5	72	53.707386
19	-1	70	82.94923
-19	16	63	26.808372
17	-2	72	74.54545
33	1	56	-85.92673
26	0	63	-90.0
20	1	69	-83.29848
29	0	60	-90.0
-15	21	63	16.906754
-11	16	69	16.307037
21	-4	67	65.88581
35	-6	53	68.05762
-18	16	65	25.581556
18	-1	71	82.56179
-16	5	72	53.707386
16	5	72	-53.707386
-19	-5	69	-58.266495
11	3	78	-57.343834
-19	2	70	76.10576
14	8	73	-36.674374
-23	0	66	90.0
13	9	73	-31.577288
-20	1	69	83.29848
19	11	66	-36.316273
-18	2	71	75.36617
17	10	69	-35.88216
-19	2	70	76.10576
17	10	69	-35.88216
-18	3	70	68.61139
11	8	75	-30.332201
-29	13	56	43.509033
15	-2	73	72.60249
36	-1	53	86.26516
-36	22	45	34.850483
34	-1	55	86.04614
-12	18	68	15.838033
-37	21	44	36.860634
22	0	67	-90.0
14	3	74	-63.271492
-33	17	50	39.55784
-19	13	65	31.878798
25	-3	64	74.25156
24	-2	65	78.91981
24	1	65	-84.407616
26	-1	63	84.83538
16	0	73	-90.0
23	-8	64	50.73775
28	-5	60	67.235
-13	-5	75	-47.89129
21	13	64	-34.504566
-14	0	75	90.0
-10	5	78	40.399925
19	5	69	-58.266495
-11	-4	77	-49.484623
-18	-5	70	-56.864403
16	7	72	-44.205524
-24	23	55	23.942844
11	7	76	-33.770397
11	4	77	-49.484623
-31	26	46	26.901669
-18	13	67	30.506535
-17	18	63	21.894793
-20	20	60	23.05133
-13	18	66	17.083721
-12	17	68	16.719011
11	2	78	-66.86431
-18	13	67	30.506535
12	0	77	-90.0
-10	-6	77	-35.345047
22	4	66	-66.86431
-20	-3	69	-70.58245
15	5	73	-51.927235
-11	-4	77	-49.484623
25	11	61	-44.042366
-13	12	70	24.749395
-18	12	67	32.55003
-18	13	67	30.506535
-27	13	58	41.470177
10	0	79	-90.0
-25	22	54	25.806536
-20	14	64	31.295559
20	-4	69	64.826485
-24	3	64	73.62986
21	5	67	-60.77196
14	5	74	-49.99376
16	8	71	-40.399925
-10	1	79	76.77545
14	5	74	-49.99376
-14	0	75	90.0
11	8	75	-30.332201
-11	0	78	90.0
-28	14	57	40.399925
19	-3	70	69.6425
-21	15	63	30.784172
33	8	54	-60.32998
17	8	70	-42.121655
32	7	56	-62.794018
-3	16	73	4.561845
16	0	73	-90.0
-13	19	65	16.233131
-22	7	65	53.21355
16	3	72	-66.22052
-12	-7	75	-36.11015
-15	-3	74	-64.826485
11	9	75	-27.478724
-11	0	78	90.0
-10	2	79	64.826485
-11	0	78	90.0
16	12	69	-29.56956
-15	14	68	24.509556
-15	13	69	26.150991
-12	13	71	21.444864
-12	13	70	21.444864
-18	11	68	34.850483
35	2	54	-82.35175
35	-1	54	86.15877
28	0	61	-90.0
14	2	75	-71.44237
17	2	72	-74.54545
27	-4	62	70.80454
27	-3	62	75.36617
26	-1	63	84.83538
30	0	59	-90.0
-12	0	77	90.0
16	3	73	-66.22052
-10	3	78	54.816177
18	6	70	-51.927235
-10	7	76	31.295559
17	10	69	-35.88216
-17	6	71	50.327305
22	18	60	-27.478724
-15	5	73	51.927235
28	15	57	-38.46106
-15	10	71	32.550026
-15	7	72	42.360275
-14	8	73	36.674374
36	11	51	-54.319572
-13	18	66	17.083721
-19	22	60	20.178656
-26	23	52	25.68926
29	4	59	-72.040535
-7	20	67	8.471179
-23	29	50	18.6491
29	0	60	-90.0
-9	16	70	13.461181
11	6	76	-37.959305
13	5	75	-47.89129
12	6	75	-40.399925
-25	21	55	26.866144
26	2	63	-79.75335
33	6	55	-66.86431
-17	8	70	42.121655
21	11	65	-39.08971
14	9	72	-33.502136
20	6	68	-54.816177
-10	1	79	76.77545
-20	0	69	90.0
16	14	67	-25.934711
-35	17	49	41.221466
23	0	66	-90.0
-24	18	58	29.56956
-22	17	61	28.841093
-17	13	67	29.094425
-29	21	52	30.440195
-11	12	73	21.309341
-18	17	64	24.254604
-13	11	72	26.697914
-15	14	68	24.509556
11	0	78	-90.0
25	14	59	-37.230442
-22	0	67	90.0
31	16	53	-39.504517
-18	10	68	37.4506
-26	16	57	34.66347
-12	12	72	23.05133
-10	7	77	31.295559
-11	11	73	23.05133
-10	9	76	25.305431
-13	10	72	28.951021
-11	10	73	25.08362
-18	14	65	28.683647
15	-3	74	64.826485
-31	20	50	33.40785
-14	5	74	49.99376
41	4	47	-77.08707
16	8	70	-40.399925
-15	0	74	90.0
32	9	56	-56.537804
14	2	75	-71.44237
14	9	72	-33.502136
-23	-9	64	-47.399456
38	-2	51	82.94923
-22	7	65	53.21355
24	0	65	-90.0
-12	13	70	21.444864
-18	11	68	34.850483
20	-6	68	54.816177
-21	15	63	30.784172
36	-5	53	71.9239
-14	2	75	71.44237
17	9	70	-38.791733
-10	0	79	90.0
-11	0	78	90.0
-15	0	74	90.0
-13	4	76	54.13019
-22	-1	67	-83.90289
-15	1	74	81.09604
11	14	71	-18.487211
-31	-4	58	-73.13135
-26	-5	63	-65.6807
19	17	62	-25.435534
-20	-2	68	-76.77545
-25	-3	63	-74.25156
21	-1	68	83.6149
-13	14	69	21.56083
-31	16	53	39.504517
-44	14	41	53.21355
23	-5	65	62.938904
-27	10	60	48.964672
-34	13	51	48.05939
16	-3	73	66.22052
-22	11	64	40.399925
-11	7	76	33.770397
-16	0	73	90.0
-42	13	44	53.968586
-14	7	73	40.399925
-24	8	64	51.927235
-19	5	69	58.266495
-17	5	71	55.348698
-19	4	70	63.676716
11	0	78	-90.0
-34	7	55	64.18122
8	-16	71	12.011513
-1	19	70	1.2830437
-19	3	70	69.6425
20	17	61	-26.593758
-26	-4	63	-70.12314
-21	0	68	90.0
16	14	67	-25.934711
-10	2	79	64.826485
-10	-1	78	-76.77545
12	9	73	-29.56956
-15	0	74	90.0
14	13	70	-24.620365
-24	-3	65	-73.62986
-13	2	76	70.12314
-10	-3	79	-54.816177
17	9	69	-38.791733
21	13	64	-34.504566
-18	0	70	90.0
20	12	65	-35.345047
-20	0	69	90.0
24	10	63	-45.60311
-31	14	54	43.296894
-34	13	52	48.05939
28	0	61	-90.0
-23	13	62	36.974804
17	-3	72	67.47594
-28	14	57	40.399925
37	-3	51	79.21215
-17	12	68	31.083149
-22	12	63	37.959305
16	0	73	-90.0
17	0	72	-90.0
14	3	75	-63.271492
18	9	69	-40.399925
-13	-2	75	-70.12314
15	11	70	-30.125368
-10	-3	78	-54.816177
-16	-4	72	-59.565777
16	9	70	-37.10757
-21	-1	68	-83.6149
20	10	66	-40.399925
-12	-2	77	-68.61139
15	10	71	-32.550026
-19	0	70	90.0
-15	0	74	90.0
17	13	67	-29.094425
21	15	63	-30.784172
-15	0	74	90.0
19	14	64	-30.006788
-16	0	73	90.0
19	12	66	-33.970493
12	10	73	-27.050623
-12	0	77	90.0
20	16	63	-28.009205
16	12	69	-29.56956
-12	-5	76	-45.60311
20	14	64	-31.295559
-11	-4	77	-49.484623
17	8	69	-42.121655
-13	0	76	90.0
21	12	65	-36.674374
-20	-1	69	-83.29848
13	9	73	-31.577288
-11	6	77	37.959305
-16	0	73	90.0
21	16	62	-29.183851
-11	0	78	90.0
21	19	60	-25.188791
-15	0	74	90.0
14	3	75	-63.271492
24	17	59	-30.995409
-12	2	77	68.61139
-12	1	77	78.91981
16	13	68	-27.642498
-17	-3	72	-67.47594
-10	0	79	90.0
21	12	65	-36.674374
-13	0	76	90.0
18	10	68	-37.4506
-10	6	77	35.345047
16	2	73	-73.62986
-13	11	72	26.697914
15	0	74	-90.0
27	0	62	-90.0
-15	11	70	30.125368
-11	7	76	33.770397
-23	11	63	41.661064
36	0	53	-90.0
35	-5	54	71.44237
-13	4	75	54.13019
24	-3	64	73.62986
-15	11	70	30.125368
-14	13	70	24.620365
28	-3	61	75.86751
14	-3	75	63.271492
33	-4	56	74.10049
12	0	77	-90.0
-11	8	75	30.332201
44	-9	43	64.32726
18	-5	70	56.864403
-32	18	51	37.10757
